ID	SizeFraction	Kingdom	Superphylum	Phylum	Class	Order	Family	Genus	Species	Phylum_Cyano	nodesize
bp_ASV_000001	pico	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	uncultured_bacterium	Synechococcus_CC9902	1
bp_ASV_000002	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ia	uncultured_bacterium	Alphaproteobacteria	1
bp_ASV_000005	pico	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	uncultured_bacterium	Synechococcus_CC9902	1
bp_ASV_000009	pico	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	uncultured_marine_cyanobacterium	Synechococcus_CC9902	1
bp_ASV_000012	pico	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	marine_metagenome	Synechococcus_CC9902	1
bp_ASV_000018	pico	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313	uncultured_marine_cyanobacterium	Prochlorococcus_MIT9313	1
bp_ASV_000020	pico	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	uncultured_bacterium	Cyanobium_PCC-6307	1
bp_ASV_000022	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_AEGEAN-169	Rhodospirillales_AEGEAN-169	uncultured_marine_bacterium	Alphaproteobacteria	1
bp_ASV_000024	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_AEGEAN-169	Rhodospirillales_AEGEAN-169	uncultured_bacterium	Alphaproteobacteria	1
bp_ASV_000038	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_bacterium	Gammaproteobacteria	1
bp_ASV_000043	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS4	uncultured_bacterium	Bacteroidetes	1
bp_ASV_000044	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	uncultured_bacterium	Alphaproteobacteria	1
bp_ASV_000045	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_AEGEAN-169	Rhodospirillales_AEGEAN-169	uncultured_marine_bacterium	Alphaproteobacteria	1
bp_ASV_000046	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ia	uncultured_marine_bacterium	Alphaproteobacteria	1
bp_ASV_000054	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	uncultured_alpha_proteobacterium	Alphaproteobacteria	1
bp_ASV_000059	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	uncultured_bacterium	Gammaproteobacteria	1
