Source	Target	LS	Xs	Len	MutualInformation	percentage_co_occurrence	intersection	union	J
bn_ASV_000043	bn_ASV_000077	0.677221	1	114	0.572324	78.947368	60	76	0.789473684210526
bn_ASV_000043	bn_ASV_000079	0.521536	1	119	0.504341	65.853659	54	82	0.658536585365854
bn_ASV_000043	bn_ASV_000097	0.534095	1	120	0.53415	64	48	75	0.64
bn_ASV_000043	bn_ASV_000112	0.629271	1	113	0.564386	77.333333	58	75	0.773333333333333
bn_ASV_000043	bn_ASV_000116	0.765341	1	120	0.688461	80.263158	61	76	0.802631578947368
bn_ASV_000043	bn_ASV_000142	0.510029	1	119	0.416662	62.820513	49	78	0.628205128205128
bn_ASV_000043	bn_ASV_000156	0.632823	1	120	0.631956	72.60274	53	73	0.726027397260274
bn_ASV_000043	bn_ASV_000161	0.523081	1	113	0.460472	54.411765	37	68	0.544117647058823
bn_ASV_000043	bn_ASV_000178	0.616353	1	120	0.446602	71.052632	54	76	0.710526315789474
bn_ASV_000043	bn_ASV_000208	0.518197	11	110	0.434338	56	42	75	0.56
bn_ASV_000043	bn_ASV_000281	0.54389	1	120	0.52053	63.380282	45	71	0.633802816901408
bn_ASV_000043	bn_ASV_000341	0.603923	1	113	0.524522	60	42	70	0.6
bn_ASV_000043	bp_ASV_000001	0.57183	1	119	0.506541	62.5	65	104	0.625
bn_ASV_000043	bp_ASV_000012	0.583056	1	119	0.487408	65.656566	65	99	0.656565656565657
bn_ASV_000043	bp_ASV_000015	0.524078	1	120	0.46435	60.909091	67	110	0.609090909090909
bn_ASV_000043	bp_ASV_000022	0.580719	1	120	0.558219	61.458333	59	96	0.614583333333333
bn_ASV_000043	bp_ASV_000043	0.765864	1	120	0.837024	72.60274	53	73	0.726027397260274
bn_ASV_000043	bp_ASV_000044	0.622839	1	119	0.576915	65.789474	50	76	0.657894736842105
